Starting crawl of https://help.forcepoint.com/dlp/10.4.0/dlphelp/index.html
[Queue: 0] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/index.html
[Queue: 171] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/guid-3e3ae49c-cb25-482b-a915-61ef93143f55.html
[Queue: 170] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/D8B814AE-0699-4781-BF68-0D5B60B6BA29.html
[Queue: 169] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/2AA22546-066F-4988-90B5-739055E671DD.html
[Queue: 168] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/034A81A6-7D55-46B1-8B41-92A37085D7FF.html
[Queue: 167] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/B3E8968C-3243-4141-95F2-C2D600321611.html
[Queue: 166] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/E38AA3ED-E6F8-4008-82B8-8400230E8B9D.html
[Queue: 165] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/574AA3CD-C1F3-4C91-B3D4-DDD63589D996.html
[Queue: 165] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/F0BF10E9-319A-418B-A7BC-DE166AD84A70.html
[Queue: 165] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/guid-01a10766-a933-4cf5-878f-3173b2d66e73.html
[Queue: 164] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/B5640891-94C3-441F-9C92-A7F4F2DB02C7.html
[Queue: 163] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/EA6A36C8-8DCD-4C29-8195-1D983E8B3F68.html
[Queue: 162] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/08CB6619-B538-4134-932A-87C9F896C288.html
[Queue: 161] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/5BE2F32C-07D2-4255-809D-18D241ADA25F.html
[Queue: 167] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/guid-743c8588-cff6-43d0-84d1-d2daa70c1478.html
[Queue: 166] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/0CCE03E0-F4E7-4427-B4C4-42FAA7C5988A.html
[Queue: 165] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/E4BCB3FA-D82D-4227-9105-C771816B9A7A.html
[Queue: 164] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/6104ED8F-C38C-49CB-A5D8-D5A6525F1013.html
[Queue: 163] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/69EEA9C6-4121-4580-BFAF-CD6380D23751.html
[Queue: 171] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/guid-13195525-102b-44c4-adc6-d8372d07c556.html
[Queue: 170] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/AA9A7A34-99FC-4D48-B33A-903F3A71949D.html
[Queue: 169] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/BCB18B34-079E-4A65-B117-F9444A5EF5BC.html
[Queue: 168] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/860FDF47-0F50-4360-B649-1D5120D0C3F4.html
[Queue: 167] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/F7DC301D-9606-41A2-BFD2-2902EBD58426.html
Saving 20 pages to full_site_data.json...
[Queue: 171] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/9E32ADAB-A18B-42B9-814A-E08D65C82ED4.html
[Queue: 170] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/D50B8A70-33C4-4513-AD4D-AEFCD9BBDFFD.html
[Queue: 169] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/guid-086768f6-c674-4221-9bdd-c94dcbfb2c6f.html
[Queue: 168] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/040D98E5-9592-413E-9742-4D3F4BAE3D48.html
[Queue: 167] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/554CB4B1-54F3-466F-AD19-1280F815AE4E.html
[Queue: 180] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/4E7A2EB5-FB69-4756-BBFD-8FC7B4F58E81.html
[Queue: 179] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/732033D4-C684-4F11-90DA-3E3496B8E092.html
[Queue: 178] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/guid-f89912ca-884a-4832-a395-995c8b66e7dc.html
[Queue: 177] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/FF9308AE-980A-48CD-AC96-3894D08B2859.html
[Queue: 176] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/8A2EAAEF-B48F-4596-9E45-20F3155A33FF.html
[Queue: 196] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/19A57703-AA7C-459B-A6D4-A7AB94F26715.html
[Queue: 195] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/F23372D7-7EAB-44B8-8476-2ADEA46A215B.html
[Queue: 194] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/guid-696023b4-65d8-431b-b2ef-0cbfe0556c32.html
[Queue: 193] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/6840F3C0-B708-407B-86B8-451F4266C87C.html
